pair_key,molecule_a_id,molecule_b_id,molecule_a_hash,molecule_b_hash,scaffold_a_hash,scaffold_b_hash,tanimoto_similarity,delta_pIC50
3a1ff0f52296,CHEMBL5822224,CHEMBL5823520,1a40197d5def,effa012da939,26d6f17b0813,acfb933161ac,0.8519,1.6404
69ee9897f75c,CHEMBL3892960,CHEMBL3973973,3ce9bb28fb28,8aee112193ad,7363ba303ab8,50c1adc5560d,0.913,1.6382
69039a16d779,CHEMBL5779576,CHEMBL5817731,45c15b8e1db7,b81be7e42d03,2d47a0e74661,2d47a0e74661,1.0,1.6375
92aad59ffe50,CHEMBL1812559,CHEMBL1812572,ed82cc269154,c2d07b22f2e9,da3565ff60dd,da3565ff60dd,0.8571,1.6335
6f4d94a57fe5,CHEMBL4443062,CHEMBL5564265,de8232a1a833,87fe09ded6ff,c51640a3637d,c51640a3637d,1.0,1.6264
70524960a869,CHEMBL3671517,CHEMBL3676390,8f884f72d9f6,76c898d0c91a,3e29b80f74c6,3e29b80f74c6,0.8551,1.624
5064b3fe1e03,CHEMBL132348,CHEMBL444337,ea4274db4350,92f3b9a56df2,a9e4bd30086e,a9e4bd30086e,0.9041,1.6226
27541acdff40,CHEMBL3233783,CHEMBL3233787,0b8bfff1d983,643b0d5e6d1b,b894cedca0d1,0279ffb7701c,0.913,1.6221
ec6cf490fc8c,CHEMBL104244,CHEMBL299194,6c0d1045a769,a54b4fefe5a3,00227faa0586,a182deee2cb5,0.9464,1.6173
b4d0f7d0f953,CHEMBL5960937,CHEMBL6020006,953fbf9a41f5,c459ac38c8e6,d0ea4281d43e,75307b96f247,0.8852,1.6037
77518d544241,CHEMBL3353410,CHEMBL4527702,2255e7269aad,84eda3d54fed,4aa52b594411,4aa52b594411,0.8553,1.6028
fce200d7b0e8,CHEMBL5088907,CHEMBL5093794,9e42efea89b8,d895ed71f239,4cc5ec5ba0a8,4cc5ec5ba0a8,0.8714,1.6002
5db2189d6186,CHEMBL4440096,CHEMBL4572913,863a972a09f2,2c18c9c6e86d,d89be4a06dad,d89be4a06dad,0.8553,1.6002
c4a7aa241999,CHEMBL1272061,CHEMBL1272223,38c77b153ec9,d581e8553d3f,94bc1f78001b,94bc1f78001b,0.8571,1.5995
9d28f870f595,CHEMBL5805901,CHEMBL5940711,09d90c125642,9cbac1665fbc,4f9efeb09982,4f9efeb09982,0.8659,1.5966
a8e0c96436c6,CHEMBL1240553,CHEMBL1241581,3f624ab7a828,5d1a758f699f,3bcd045fc19f,3bcd045fc19f,0.86,1.5942
0841b93975ba,CHEMBL5775870,CHEMBL5988402,803480b7c67d,82726955d9dd,61372f82794c,02e959d5bb9f,0.8539,1.5911
ad07c824c49e,CHEMBL4061043,CHEMBL4089863,e1afeb8f59a9,78a2e667a166,1a5df4b41096,5d87b8e22318,0.8889,1.587
