scaffold_hash,molecule_count,MAE,RMSE,mean_similarity
f7e3795e9a2f,9,0.6531006092783653,0.7547281036846994,0.7264379005638958
27b521204ad2,11,0.6504351618924299,0.7282939963274807,0.6667259091386549
41daf2bc8d31,5,0.6504260052708754,0.6602578274922521,0.6908218240809744
77a982b31a34,65,0.6472842283711095,0.8646458874194963,0.6333099774765916
630a9783b06b,10,0.6469020916540876,0.7156953040033085,0.5310081873449433
8d68f6dc1aec,5,0.6425085531249126,0.7453310020048608,0.6771018455228981
76fa30a071ac,5,0.6407498563396855,0.6508732251893808,0.7171910831732728
c0ced0afe6fb,5,0.6391172929058732,0.7638117803609858,0.6327746128826304
ba13fcf595df,19,0.6380426235121492,0.791277722689964,0.7911494599222535
ad59efdc1f06,26,0.629315998583801,0.6973898057934145,0.738964949801773
d21eba838305,14,0.6279910948524823,0.7190921632832383,0.6333688626491215
41118d4fb850,22,0.6255538270504984,0.7209633702388004,0.6381095345332887
7c35f0f345b2,7,0.6213976392108719,0.691794345273043,0.6723305674471047
c454e8a5bf96,5,0.6200547303854543,0.8621132497739028,0.6583689839572193
45fffbbd798b,6,0.6191343624317723,0.8927181229802432,0.6167557911522685
17c7e0a76465,13,0.6178904350606789,0.7735246051768231,0.8563696577619039
c3d890e54028,21,0.6139659877581632,0.6898097132235723,0.6884457609819323
9825cb94f4e1,8,0.6116502419235815,0.627052547955763,0.5925054262019651
bd9e22ac4761,10,0.6095677097175987,0.7233524054096211,0.31764982871581565
5c0f398f8345,9,0.6070707351957798,0.7191150504600843,0.7182462303703601
ad498a12b841,5,0.6056441589732987,0.6529845214027106,0.6529020013802622
19f999eed8a5,5,0.5954275521896447,0.653534997427876,0.7638769687671176
b2a4937fcc48,19,0.5941492915870992,0.6416377248470752,0.7858613172265967
1c70292cc3d5,6,0.5925661567393776,0.7352692728302345,0.665730666588463
c346e3f655ed,41,0.5915622495706175,0.7453359534686584,0.765735825624497
25044a853e86,5,0.5877376442471768,0.7244623408529726,0.8238528138528138
e91c32354640,6,0.5865913487822917,0.6564942142542819,0.7308426527176527
d5bad37e2cc7,9,0.5862915073712119,0.6744014814036687,0.7199196231794904
0b0bb31fe13d,57,0.5848185715869242,0.7325492249630516,0.7656374657270127
0c7681b2474e,11,0.5826601986455455,0.7501933988564154,0.8104945355839454
65645f8ba850,8,0.5816148819432589,0.7602233941940977,0.776190811488176
27529897247c,125,0.5803425247345866,0.7204678820467235,0.6850252286209041
94bc1f78001b,10,0.5783037953925153,0.7999113155624838,0.7360135048464833
c3cd32f80be9,27,0.5760810536077307,0.7041870364737968,0.5790895435304684
078c5ac135cd,8,0.5751741491068066,0.688530080628804,0.6827610896660299
9b2aaf89f954,18,0.5749116587706907,0.7415437179542481,0.7681076231887123
8801ec29697c,6,0.5711707810333855,0.8388098093148375,0.8017703067247551
3f8b323fd268,18,0.5693305842754387,0.6983373032815072,0.6576571059287696
e33c5fa3dda2,12,0.5684713680846407,0.6791516619922929,0.6987355829534491
d1caacdf0df1,29,0.5637774095770829,0.6724921336118633,0.7166607319808869
c7f72091fe48,6,0.5613557654195551,0.9129368194923445,0.8028811404018529
46dbe06a66c3,29,0.5609251915598862,0.7333067224531864,0.5565647916211206
824b7ec26fd8,12,0.5597027162530083,0.679343681197747,0.775322895115493
d0ea4281d43e,11,0.5537257801611479,0.6057768153213362,0.7015069614866136
b81d4b777183,9,0.5523650441800202,0.7107836345366214,0.5981473904539816
06721c212967,48,0.5519573442364952,0.681011327440353,0.8101518698744327
907745fbf607,28,0.5513785718293908,0.6199726296665033,0.7341350912176401
43eee1159506,15,0.5506237922669723,0.666096345236232,0.581193696590497
b20d8d3853fc,11,0.5458816954430786,0.6695619850959443,0.7899393449185891
bd9f78919521,7,0.5457522535746048,0.6968971137575416,0.8119510864666301
9f6562e9aae3,25,0.5453474029045029,0.7067260070342908,0.4495174688811059
